Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
29,20,5,47,16321,1,0,2,0,12,2,0,0,5,6,1957,1997,1,8,8,3,0,2,2,1,2,2,0,2,1277,5,0,207,1484,1,2,0,0,1600,0,0,1600,1,0,1,0,2,1,2,6,0,2,1,1,1957,1,1,319,2,2,0,288,258,0,0,0,0,12,2006,0,0,207500
30,30,7,60,6324,1,0,0,0,3,1,0,0,4,6,1927,1950,1,8,8,3,0,2,2,0,2,2,3,5,0,5,0,520,520,1,3,1,0,520,0,0,520,0,0,1,0,1,1,3,4,0,0,5,5,1920,2,1,240,3,2,0,49,0,87,0,0,0,5,2008,0,0,68500
31,70,1,50,8500,0,0,0,0,9,1,0,3,4,4,1920,1950,2,3,3,3,0,2,3,0,2,2,3,5,0,5,0,649,649,1,2,1,0,649,668,0,1317,0,0,1,0,3,1,2,6,0,0,5,5,1920,2,1,250,2,3,2,0,54,172,0,0,0,7,2008,0,0,40000
32,20,5,70,8544,1,0,2,0,19,2,0,0,5,6,1966,2006,1,6,6,3,0,2,2,1,2,2,3,5,0,5,0,1228,1228,1,1,0,0,1228,0,0,1228,0,0,1,1,3,1,1,6,0,0,5,1,1966,2,1,271,2,2,0,0,65,0,0,0,0,6,2008,0,0,149350
33,20,5,85,11049,0,0,1,0,5,2,0,0,8,5,2007,2007,1,15,15,3,0,1,2,2,0,2,1,5,0,5,0,1234,1234,1,0,0,0,1234,0,0,1234,0,0,2,0,3,1,1,7,0,0,5,1,2007,1,2,484,2,2,0,0,30,0,0,0,0,1,2008,0,0,179900
34,20,5,70,10552,1,0,0,0,12,2,0,0,5,5,1959,1959,3,3,3,3,0,2,2,1,2,2,3,3,1018,5,0,380,1398,1,1,0,0,1700,0,0,1700,0,1,1,1,4,1,1,6,0,1,1,1,1959,1,2,447,2,2,0,0,38,0,0,0,0,4,2010,0,0,165500
35,120,5,60,7313,0,0,0,0,15,2,3,0,9,5,2005,2005,3,8,8,1,246,0,2,2,0,2,3,0,1153,5,0,408,1561,1,0,0,0,1561,0,0,1561,1,0,2,0,2,1,0,6,0,1,1,1,2005,0,2,556,2,2,0,203,47,0,0,0,0,8,2007,0,0,277500
36,60,5,108,13418,0,0,0,0,15,2,0,3,8,5,2004,2005,1,15,15,4,132,1,2,2,0,2,1,5,0,5,0,1117,1117,1,0,0,0,1132,1320,0,2452,0,0,3,1,4,1,1,9,0,1,1,3,2004,0,3,691,2,2,0,113,32,0,0,0,0,9,2006,0,0,309000
37,20,5,112,10859,0,0,1,0,5,2,0,0,5,5,1994,1995,1,15,15,3,0,2,2,2,1,2,3,5,0,5,0,1097,1097,1,0,0,0,1097,0,0,1097,0,0,1,1,3,1,2,6,0,0,5,1,1995,2,2,672,2,2,0,392,64,0,0,0,0,6,2009,0,0,145000
38,20,5,74,8532,0,0,0,0,12,2,0,0,5,6,1954,1990,3,16,16,1,650,2,2,1,2,2,3,3,1213,5,0,84,1297,1,1,0,0,1297,0,0,1297,0,1,1,0,3,1,2,5,0,1,2,1,1954,0,2,498,2,2,0,0,0,0,0,0,0,10,2009,0,0,153000
39,20,5,68,7922,0,0,0,0,12,2,0,0,5,7,1953,2007,1,15,15,3,0,2,1,1,2,2,3,0,731,5,0,326,1057,1,2,0,0,1057,0,0,1057,1,0,1,0,3,1,1,5,0,0,5,5,1953,2,1,246,2,2,0,0,52,0,0,0,0,1,2010,0,1,109000
40,90,5,65,6040,0,0,0,0,7,2,2,0,4,5,1955,1955,1,0,10,3,0,2,2,2,5,5,4,6,0,6,0,0,0,1,2,1,3,1152,0,0,1152,0,0,2,0,2,2,3,6,0,0,5,6,1978,3,0,0,5,5,2,0,0,0,0,0,0,6,2008,0,2,82000
41,20,5,84,8658,0,0,0,0,12,2,0,0,6,5,1965,1965,1,16,16,1,101,2,2,1,2,2,3,3,643,5,0,445,1088,1,0,0,0,1324,0,0,1324,0,0,2,0,3,1,2,6,0,1,2,1,1965,1,2,440,2,2,0,0,138,0,0,0,0,12,2006,0,1,160000
42,20,5,115,16905,0,0,0,0,23,2,0,0,5,6,1959,1959,1,15,15,3,0,2,1,1,2,2,0,2,967,5,0,383,1350,1,1,0,0,1328,0,0,1328,0,1,1,1,2,1,2,5,0,2,1,1,1959,1,1,308,2,2,1,0,104,0,0,0,0,7,2007,0,0,170000
43,85,5,70,9180,1,0,2,0,20,2,0,6,5,7,1983,1983,1,6,6,3,0,2,2,1,1,2,1,1,747,4,93,0,840,1,1,0,0,884,0,0,884,1,0,1,0,2,1,1,5,0,0,5,1,1983,1,2,504,2,1,0,240,0,0,0,0,0,12,2007,0,0,144000
44,20,5,70,9200,1,0,2,0,5,2,0,0,5,6,1975,1980,3,15,15,3,0,2,2,1,1,2,1,4,280,2,491,167,938,1,2,0,0,938,0,0,938,1,0,1,0,3,1,2,5,0,0,5,5,1977,2,1,308,2,2,0,145,0,0,0,0,0,7,2008,0,0,130250
45,20,5,70,7945,0,0,0,0,12,2,0,0,5,6,1959,1959,1,3,16,3,0,2,2,1,2,2,3,1,179,2,506,465,1150,1,0,0,1,1150,0,0,1150,1,0,1,0,3,1,2,6,0,0,5,1,1959,1,1,300,2,2,0,0,0,0,0,0,0,5,2006,0,0,141000
46,120,5,61,7658,0,0,0,0,15,2,3,0,9,5,2005,2005,3,8,8,1,412,0,2,2,0,2,3,0,456,5,0,1296,1752,1,0,0,0,1752,0,0,1752,1,0,2,0,2,1,0,6,0,1,1,1,2005,1,2,576,2,2,0,196,82,0,0,0,0,2,2010,0,0,319900
47,50,5,48,12822,1,0,2,0,11,2,0,1,7,5,2003,2003,1,15,15,3,0,1,2,2,0,2,3,0,1351,5,0,83,1434,1,0,0,0,1518,631,0,2149,1,0,1,1,1,1,1,6,0,1,0,1,2003,1,2,670,2,2,0,168,43,0,0,198,0,8,2009,0,1,239686
48,20,2,84,11096,0,0,0,0,21,2,0,0,8,5,2006,2006,1,15,15,3,0,1,2,2,1,2,1,0,24,5,0,1632,1656,1,0,0,0,1656,0,0,1656,0,0,2,0,3,1,1,7,0,0,5,1,2006,1,3,826,2,2,0,0,146,0,0,0,0,7,2007,0,0,249700
49,190,7,33,4456,0,0,0,0,17,2,1,3,4,5,1920,2008,1,8,8,3,0,2,2,0,2,2,3,5,0,5,0,736,736,1,1,0,0,736,716,0,1452,0,0,2,0,2,3,2,8,0,0,5,6,1978,3,0,0,5,5,2,0,0,102,0,0,0,6,2009,3,5,113000
50,20,5,66,7742,0,0,0,0,19,2,0,0,5,7,1966,1966,1,6,6,3,0,2,2,1,2,2,3,2,763,5,0,192,955,1,0,0,0,955,0,0,955,1,0,1,0,3,1,2,6,0,0,5,1,1966,2,1,386,2,2,0,0,0,0,0,0,0,1,2007,0,0,127000
51,60,5,70,13869,2,0,1,0,8,2,0,3,6,6,1997,1997,1,15,15,3,0,2,2,2,1,2,1,0,182,5,0,612,794,1,1,0,0,794,676,0,1470,0,1,2,0,3,1,2,6,0,0,5,1,1997,0,2,388,2,2,0,0,75,0,0,0,0,7,2007,0,0,177000
52,50,7,52,6240,0,0,0,0,3,2,0,1,6,6,1934,1950,1,16,16,3,0,2,2,2,2,2,3,5,0,5,0,816,816,1,2,0,0,816,0,360,1176,0,0,1,0,3,1,2,6,0,1,1,5,1985,2,2,528,2,2,0,112,0,0,0,0,400,9,2006,0,0,114500
53,90,7,110,8472,2,1,1,1,9,3,2,0,5,5,1963,1963,1,16,16,3,0,3,2,1,1,2,0,4,104,0,712,0,816,1,2,1,0,816,0,0,816,1,0,1,0,2,1,2,5,0,0,5,4,1963,2,2,516,2,2,0,106,0,0,0,0,0,5,2010,0,0,110000
54,20,5,68,50271,1,3,0,0,24,2,0,0,9,5,1981,1987,1,17,16,3,0,1,2,1,0,2,0,0,1810,5,0,32,1842,1,1,0,0,1842,0,0,1842,2,0,0,1,0,1,1,5,0,1,1,1,1981,0,3,894,2,2,0,857,72,0,0,0,0,11,2006,0,0,385000
55,80,5,60,7134,0,1,0,1,12,2,0,7,5,5,1955,1955,1,8,8,3,0,2,2,1,2,2,3,1,384,5,0,0,384,1,2,0,0,1360,0,0,1360,0,0,1,0,3,1,2,6,1,1,2,5,1962,2,2,572,2,2,0,0,50,0,0,0,0,2,2007,0,0,130000
56,20,5,100,10175,1,0,0,0,12,2,0,0,6,5,1964,1964,1,6,10,1,272,2,2,1,2,2,3,2,490,5,0,935,1425,1,1,0,0,1425,0,0,1425,0,0,2,0,3,1,2,7,0,1,1,1,1964,1,2,576,2,2,0,0,0,0,407,0,0,7,2008,0,0,180500
57,160,2,24,2645,0,0,0,0,21,2,4,3,8,5,1999,2000,1,8,8,1,456,1,2,2,1,2,3,0,649,5,0,321,970,1,0,0,0,983,756,0,1739,1,0,2,1,3,1,1,7,0,0,5,1,1999,0,2,480,2,2,0,115,0,0,0,0,0,8,2009,0,1,172500
58,60,5,89,11645,1,0,1,0,5,2,0,3,7,5,2004,2004,1,15,15,3,0,1,2,2,1,2,3,5,0,5,0,860,860,1,0,0,0,860,860,0,1720,0,0,2,1,3,1,1,7,0,0,5,1,2004,1,2,565,2,2,0,0,70,0,0,0,0,8,2006,0,0,196500
59,60,5,66,13682,2,2,2,0,22,2,0,3,10,5,2006,2006,3,15,15,1,1031,0,2,2,0,2,0,5,0,5,0,1410,1410,1,0,0,0,1426,1519,0,2945,0,0,3,1,3,1,1,10,0,1,1,3,2006,0,3,641,2,2,0,192,0,37,0,0,0,10,2006,3,5,438780
60,20,5,60,7200,0,1,0,0,5,2,0,0,5,7,1972,1972,1,6,6,3,0,2,2,1,2,2,1,1,632,5,0,148,780,1,0,0,0,780,0,0,780,0,0,1,0,2,1,2,4,0,0,5,5,1973,2,1,352,2,2,0,196,0,0,0,0,0,1,2008,0,0,124900
61,20,5,63,13072,0,0,0,0,20,8,0,0,6,5,2004,2004,1,15,15,3,0,2,2,2,1,2,3,1,941,5,0,217,1158,1,0,0,0,1158,0,0,1158,1,0,1,1,3,1,1,5,0,0,5,5,2006,2,2,576,2,2,0,0,50,0,0,0,0,5,2006,3,5,158000
62,75,7,60,7200,0,0,0,0,9,2,0,5,5,7,1920,1996,1,8,8,3,0,2,2,0,2,3,3,5,0,5,0,530,530,1,2,1,0,581,530,0,1111,0,0,1,0,3,1,3,6,0,0,5,5,1935,2,1,288,2,2,2,0,0,144,0,0,0,3,2007,0,0,101000
63,120,5,44,6442,1,0,0,0,15,2,3,0,8,5,2006,2006,1,15,15,4,178,1,2,2,1,1,2,0,24,5,0,1346,1370,1,0,0,0,1370,0,0,1370,0,0,2,0,2,1,1,6,0,1,1,1,2006,1,2,484,2,2,0,120,49,0,0,0,0,10,2007,0,0,202500
64,70,7,50,10300,1,1,0,0,17,4,0,3,7,6,1921,1950,1,14,14,3,0,2,2,0,2,2,3,5,0,5,0,576,576,1,1,0,0,902,808,0,1710,0,0,2,0,3,1,2,9,0,0,5,5,1990,2,2,480,2,2,0,12,11,64,0,0,0,4,2010,0,0,140000
65,60,5,70,9375,0,0,0,0,5,2,0,3,7,5,1997,1998,1,15,15,1,573,2,2,2,1,2,3,0,739,5,0,318,1057,1,0,0,0,1057,977,0,2034,1,0,2,1,3,1,1,8,0,0,5,1,1998,1,2,645,2,2,0,576,36,0,0,0,0,2,2009,0,0,219500
66,60,5,76,9591,0,0,0,0,15,2,0,3,8,5,2004,2005,1,15,15,1,344,1,2,2,0,2,1,5,0,5,0,1143,1143,1,0,0,0,1143,1330,0,2473,0,0,2,1,4,1,1,9,0,1,1,3,2004,1,3,852,2,2,0,192,151,0,0,0,0,10,2007,0,0,317000
67,20,5,70,19900,0,0,0,0,12,6,0,0,7,5,1970,1989,1,10,10,1,287,2,2,1,1,2,0,0,912,5,0,1035,1947,1,2,0,0,2207,0,0,2207,1,0,2,0,3,1,2,7,1,1,1,1,1970,1,2,576,2,2,0,301,0,0,0,0,0,7,2010,0,0,180000
68,20,5,72,10665,1,0,0,0,5,2,0,0,7,5,2003,2003,1,15,15,1,167,1,2,2,1,2,1,0,1013,5,0,440,1453,1,0,0,0,1479,0,0,1479,1,0,2,0,3,1,1,7,0,0,5,1,2003,1,2,558,2,2,0,144,29,0,0,0,0,6,2007,0,0,226000
69,30,7,47,4608,0,0,1,0,17,0,0,0,4,6,1945,1950,1,8,8,3,0,2,1,1,2,2,3,5,0,5,0,747,747,1,2,0,0,747,0,0,747,0,0,1,0,2,1,2,4,0,0,5,1,1945,2,1,220,2,2,0,0,0,0,0,0,0,6,2010,0,0,80000
70,50,5,81,15593,0,0,1,0,4,2,0,1,7,4,1953,1953,1,3,0,3,0,1,2,1,2,2,3,2,603,5,0,701,1304,2,2,0,0,1304,983,0,2287,0,0,2,0,3,1,2,7,0,1,2,1,1953,0,2,667,2,2,0,0,21,114,0,0,0,7,2006,0,0,225000
71,20,5,95,13651,1,0,0,0,12,2,0,0,7,6,1973,1973,1,10,10,1,1115,2,1,1,1,2,0,1,1880,5,0,343,2223,1,0,0,0,2223,0,0,2223,1,0,2,0,3,1,2,8,0,2,1,1,1973,0,2,516,2,2,0,300,0,0,0,0,0,2,2007,0,0,244000
72,20,5,69,7599,0,0,1,0,11,2,0,0,4,6,1982,2006,1,6,10,3,0,2,2,1,2,2,3,1,565,5,0,280,845,1,2,0,0,845,0,0,845,1,0,1,0,2,1,2,4,0,0,5,5,1987,2,2,360,2,2,0,0,0,0,0,0,0,6,2007,0,0,129500
73,60,5,74,10141,1,0,1,0,8,2,0,3,7,5,1998,1998,1,15,15,1,40,2,2,2,1,2,3,5,0,5,0,832,832,1,1,0,0,885,833,0,1718,0,0,2,1,3,1,2,7,0,1,2,1,1998,0,2,427,2,2,0,0,94,0,0,291,0,12,2009,0,0,185000
74,20,5,85,10200,0,0,0,0,12,2,0,0,5,7,1954,2003,1,16,16,1,104,2,2,1,2,2,3,1,320,2,362,404,1086,1,1,0,0,1086,0,0,1086,1,0,1,0,3,1,2,6,0,0,5,1,1989,2,2,490,2,2,0,0,0,0,0,0,0,5,2010,0,0,144900
75,50,7,60,5790,0,0,1,0,17,2,0,3,3,6,1915,1950,2,15,15,3,0,1,1,1,3,2,3,5,0,5,0,840,840,1,1,1,0,840,765,0,1605,0,0,2,0,3,2,2,8,0,0,5,5,1915,2,1,379,2,2,0,0,0,202,0,0,0,5,2010,0,0,107400
76,180,7,21,1596,0,0,0,0,10,2,4,7,4,5,1973,1973,1,5,5,3,0,2,2,1,1,2,0,0,462,5,0,0,462,1,2,0,0,526,462,0,988,1,0,1,0,2,1,2,5,0,0,5,3,1973,2,1,297,2,2,0,120,101,0,0,0,0,11,2009,0,0,91000
77,20,5,70,8475,1,0,0,0,12,2,0,0,4,7,1956,1956,1,15,15,3,0,2,2,1,2,2,3,1,228,5,0,724,952,1,0,0,1,952,0,0,952,0,0,1,0,2,1,2,4,0,0,5,5,1956,2,1,283,2,2,0,0,0,0,0,0,0,4,2008,0,0,135750
78,50,7,50,8635,0,0,0,0,3,2,0,1,5,5,1948,2001,1,16,16,3,0,2,2,1,2,2,3,2,336,0,41,295,672,1,2,0,0,1072,213,0,1285,1,0,1,0,2,1,2,6,1,0,5,5,1948,2,1,240,2,2,0,0,0,0,0,0,0,1,2008,0,0,127000
79,90,5,72,10778,0,0,0,0,19,2,2,0,4,5,1968,1968,3,6,6,3,0,2,2,1,2,2,3,5,0,5,0,1768,1768,1,2,1,0,1768,0,0,1768,0,0,2,0,4,2,2,8,0,0,5,6,1978,3,0,0,5,5,0,0,0,0,0,0,0,4,2010,0,0,136500
80,50,7,60,10440,0,0,1,0,17,2,0,3,5,6,1910,1981,1,16,16,3,0,2,2,2,2,2,3,5,0,5,0,440,440,1,1,0,0,682,548,0,1230,0,0,1,1,2,1,2,5,0,0,5,5,1966,2,2,440,2,2,0,74,0,128,0,0,0,5,2009,0,0,110000
81,60,5,100,13000,0,0,1,0,12,2,0,3,6,6,1968,1968,1,15,15,1,576,2,1,1,1,2,3,3,448,5,0,448,896,1,2,0,0,1182,960,0,2142,0,0,2,1,4,1,1,8,0,1,1,1,1968,0,1,509,2,2,0,0,72,0,0,252,0,6,2009,0,0,193500
82,120,7,32,4500,0,0,3,0,11,2,3,0,6,5,1998,1998,3,15,15,1,443,2,1,2,0,1,3,0,1201,5,0,36,1237,1,0,0,0,1337,0,0,1337,1,0,2,0,2,1,2,5,0,0,5,1,1998,0,2,405,2,2,0,0,199,0,0,0,0,3,2006,0,0,153500
83,20,5,78,10206,0,0,0,0,21,2,0,0,8,5,2007,2007,1,15,15,4,468,2,2,2,1,2,3,0,33,5,0,1530,1563,1,0,0,0,1563,0,0,1563,0,0,2,0,3,1,1,6,0,1,1,1,2007,1,3,758,2,2,0,144,99,0,0,0,0,10,2008,0,0,245000
84,20,5,80,8892,1,0,0,0,12,2,0,0,5,5,1960,1960,1,8,8,0,66,2,2,1,2,2,3,5,0,5,0,1065,1065,1,1,0,0,1065,0,0,1065,0,0,1,1,3,1,2,6,0,0,5,5,1974,2,2,461,2,2,0,74,0,0,0,0,0,7,2007,4,0,126500
85,80,5,70,8530,1,0,0,0,8,2,0,7,7,5,1995,1996,1,6,6,1,22,2,2,2,1,2,3,5,0,5,0,384,384,1,1,0,0,804,670,0,1474,0,0,2,1,3,1,2,7,0,1,2,3,1995,0,2,400,2,2,0,120,72,0,0,0,700,5,2009,0,0,168500
